epoch,loss/total_train,loss/recon_train,loss/kl_train,loss/total_val,loss/recon_val,loss/kl_val,val/mse_px,val/ssim,val/psnr,val/active_dims,val/kl_per_dim_mean,beta,lr
1,796.6951055311619,791.7317009258987,148.90200100088478,430.4091966672051,367.8527868744126,62.55641234548468,0.02043626604503707,nan,nan,64,0.9774439334869385,0.03333333333333333,0.001
2,2340581918.3330703,392.63536771616543,35108721281.22048,595.9881807485021,551.1282541375411,44.85992348463015,0.030618236645271902,nan,nan,64,0.7009363174438477,0.06666666666666667,0.001
3,373.44121889960496,368.3939842281485,50.472339816559526,395.41851072383105,336.2416221217105,59.17689058117401,0.018680089986638018,nan,nan,64,0.9246389865875244,0.1,0.001
4,353.8025193752203,346.0341105066744,58.26307311093897,383.1657964950217,322.7300880833676,60.43571182480432,0.017929449453389736,nan,nan,64,0.9443079233169556,0.13333333333333333,0.001
5,341.4240036584381,331.08963173314146,62.00623003163732,373.62765021073193,298.41417516263806,75.2134804976614,0.016578565596749906,nan,nan,64,1.1752105951309204,0.16666666666666666,0.001
6,321.36158190275495,309.2229894193492,60.692959262016124,380.1798522490308,311.6664802723361,68.51337427124942,0.017314804787922623,nan,nan,64,1.0705214738845825,0.2,0.001
7,323.1188608040487,308.0170585230777,64.72201059097634,321.50585111460293,265.8474633926736,55.658385685511995,0.014769303409340686,nan,nan,64,0.8696622848510742,0.23333333333333334,0.001
8,296.8225423483024,282.0197929439688,55.51030711123818,327.6858153379053,275.6685446832413,52.01727329340196,0.01531491968500659,nan,nan,64,0.812769889831543,0.26666666666666666,0.001
9,281.80357360839844,265.8173864837876,53.2872872603567,296.4445286800987,243.2153871005639,53.22914292758569,0.013511966353744492,nan,nan,64,0.8317053914070129,0.3,0.001
10,280.185718966606,263.2698176104323,50.74770426929445,262.0910174147527,215.1540748768283,46.93694227978699,0.011953004348771017,0.9799957400874088,44.067675855823026,64,0.7333897352218628,0.3333333333333333,0.001
11,264.59373187301753,246.49786801445754,49.352352199697854,264.09655279862255,216.6572265625,47.4393252896187,0.012036512591841077,nan,nan,64,0.7412394285202026,0.36666666666666664,0.001
12,257.89994376046315,239.44448267427603,46.13865247167143,282.66198753414295,240.07741357330093,42.584574161615585,0.013337634272761363,nan,nan,64,0.6653839945793152,0.4,0.001
13,254.9408573925047,235.54017971870596,44.77079354192978,262.0453144733171,220.4324667794364,41.61284995975351,0.012246248319296908,nan,nan,64,0.6502008438110352,0.43333333333333335,0.001
14,253.27300945081208,233.26102487664474,42.882825578962056,266.530076449975,225.37228978666147,41.157788011364474,0.012520682535841501,nan,nan,64,0.6430904865264893,0.4666666666666667,0.001
15,248.112508214506,227.47362799393503,41.27776273569666,234.99788143760279,196.8034929547991,38.194388855668834,0.010933527351826205,nan,nan,64,0.5967873334884644,0.5,0.001
16,242.5243842332883,221.17722911404488,40.02591422805212,238.77833155581826,199.18272491684533,39.59560563510522,0.01106570704483,nan,nan,64,0.6186813712120056,0.5333333333333333,0.001
17,241.00376582324952,218.78517495062118,39.209277475686896,251.24247363097686,214.16687918067873,37.075593016201395,0.011898159896744821,nan,nan,64,0.5793061256408691,0.5666666666666667,0.001
18,232.9122738945753,210.41184137100564,37.50071977314196,226.0354111750323,189.56279014644767,36.47262131540399,0.010531266331952765,nan,nan,64,0.569884717464447,0.6,0.001
19,235.065275952332,211.4499886878451,37.287296997873405,231.54795344073074,195.15400110689322,36.39395204701818,0.01084188922287378,nan,nan,64,0.5686554908752441,0.6333333333333333,0.001
20,230.5774839014039,206.99196343672904,35.378282231495795,229.01520727630844,195.57087604264566,33.44433166389179,0.010865048736445886,0.9822369267169694,44.479362315701366,64,0.5225677490234375,0.6666666666666666,0.001
21,227.64673333418997,203.20255663878936,34.920254112186285,233.20847693421786,199.0794231443477,34.12905089299482,0.011059968151096115,nan,nan,64,0.5332664251327515,0.7,0.001
22,229.42543488696106,204.39073399135046,34.138226817425036,208.08216054815995,176.83371178189614,31.24844995656408,0.009824095097811599,nan,nan,64,0.4882570505142212,0.7333333333333333,0.001
23,226.61214682213347,201.33634570128936,32.96843543088526,212.84561616137512,181.22481037799577,31.620806012834823,0.010068045081780818,nan,nan,64,0.49407511949539185,0.7666666666666667,0.001
24,223.3362030947119,197.522923003462,32.26660045824553,219.76438869390273,188.2644667087641,31.49992095258899,0.010459137247189096,nan,nan,64,0.4921862483024597,0.8,0.001
25,222.5585516449204,196.3584509828037,31.44012076872632,208.62275213944284,178.04032209582795,30.582429011065262,0.009891129287898093,nan,nan,64,0.47785046696662903,0.8333333333333334,0.001
26,217.16160606441642,190.68773697014143,30.546770812873554,204.46935335317053,174.0156326867584,30.453718271470606,0.009667535298468923,nan,nan,64,0.47583937644958496,0.8666666666666667,0.001
27,216.0469011579241,188.89731810146705,30.166204610265286,222.62827995128202,195.5237489858068,27.104530850747473,0.010862430767681366,nan,nan,64,0.42350828647613525,0.9,0.001
28,212.2872523257607,184.95140982032717,29.288402327917574,195.21978541782923,165.5792741130169,29.64051133349426,0.009198848830353944,nan,nan,64,0.4631330072879791,0.9333333333333333,0.001
29,214.056346692537,185.74728020689543,29.28524170782333,215.92078439812911,188.43970391983376,27.481079890315694,0.010468872628153715,nan,nan,64,0.42939186096191406,0.9666666666666667,0.001
30,220.29887676956062,191.3338079811039,28.96506944814123,198.03808088947955,170.1719121717869,27.866169994038746,0.009453995363380676,0.9838091220174517,45.11726801018966,64,0.43540892004966736,1.0,0.001
31,215.30741985579184,187.0205749855902,28.286844884542596,191.41964136568228,162.73661574743744,28.683027669003135,0.009040923242954383,nan,nan,64,0.44817233085632324,1.0,0.001
32,206.34321571292733,177.61733767860815,28.72587806300113,189.11798336631372,161.64943574604234,27.468549570642917,0.008980524180022846,nan,nan,64,0.4291960895061493,1.0,0.001
33,208.73172582181772,180.33180322862208,28.39992250714983,207.73293872345658,182.7370934737356,24.99584752993476,0.010152060790617663,nan,nan,64,0.390560120344162,1.0,0.001
34,200.39913538882607,171.82022806038535,28.578906855188816,185.7304681763613,159.48002486838433,26.250444268821774,0.008860001543578798,nan,nan,64,0.4101632237434387,1.0,0.001
35,195.84675735817817,167.15404934990676,28.69270764974723,184.3878856458162,156.26967523331032,28.11820988189009,0.008681648487883402,nan,nan,64,0.4393470585346222,1.0,0.001
36,195.91118466943726,166.92926960421684,28.98191479274205,189.21547406418878,159.43670401895852,29.77876980143382,0.008857594697939274,nan,nan,64,0.465293288230896,1.0,0.001
37,197.73837245855117,169.21307172273336,28.525300979614258,188.50763249218016,160.5970600099492,27.910571578750037,0.008922058969904157,nan,nan,64,0.4361026883125305,1.0,0.001
38,196.8340486225329,168.2518493537616,28.582199211407424,188.50097426794525,162.29175343907866,26.209221545914957,0.009016208567733603,nan,nan,64,0.4095190763473511,1.0,0.001
39,188.31157219678835,160.06673741161376,28.244835086334916,179.79307946226652,151.5967217925796,28.19635768402788,0.00842204001641139,nan,nan,64,0.44056808948516846,1.0,0.001
40,191.4440459057801,162.76856340680803,28.67548193967432,228.6118828336099,199.33798321028402,29.27390110044551,0.011074332485353588,0.9815019835206799,44.704752384271835,64,0.4574047029018402,1.0,0.001
41,187.0806650721041,158.40756724651595,28.673098600000365,182.97645775357583,155.65154513022057,27.324913526836195,0.008647308313756957,nan,nan,64,0.4269517958164215,1.0,0.001
42,184.39603842828507,155.78386607923005,28.61217224866824,184.79966001582324,157.76502084373533,27.034638067833463,0.008764723539912611,nan,nan,64,0.42241623997688293,1.0,0.001
43,180.08569290046404,151.61861270531676,28.467080481966637,180.40917796658394,153.21940509538004,27.189773659957083,0.00851218933169555,nan,nan,64,0.42484021186828613,1.0,0.001
44,180.30679321289062,151.86206754526697,28.444725724987517,185.74398023562324,156.69207580107496,29.051906069418543,0.008705115435939086,nan,nan,64,0.45393604040145874,1.0,0.001
45,181.1998102862136,152.97613743373327,28.223672637365816,180.19790959178954,152.22630241221952,27.971605817178137,0.008457016963091559,nan,nan,64,0.43705636262893677,1.0,0.001
46,181.25435036107115,152.604667319391,28.649683357181406,181.76791806328566,154.7337055636528,27.034213187999296,0.008596316883270453,nan,nan,64,0.4224095940589905,1.0,0.001
47,178.65595354352678,150.21722819392843,28.438725191847723,183.98588344029017,157.3134346868759,26.672449212325247,0.008739635180261798,nan,nan,64,0.4167570471763611,1.0,0.001
48,173.55106806934327,145.00339083564012,28.54767724804412,179.52530492338022,151.20581410343485,28.31949198156371,0.008400323324577701,nan,nan,64,0.4424920678138733,1.0,0.001
49,175.4502000737011,146.86876334283585,28.581436544432677,182.44578575191642,154.64618470615014,27.79959958298762,0.00859145460916417,nan,nan,64,0.434368759393692,1.0,0.001
50,173.90919219282335,145.2138093073565,28.695383114922315,183.64595731577478,156.21045036602737,27.435505214490387,0.008678358440336428,0.9846191428657761,45.566117480285186,64,0.42867976427078247,1.0,0.001
51,174.2014639718192,145.7315441504457,28.469919505872223,181.6630127412036,152.31791423137923,29.3450965737938,0.008462106472903625,nan,nan,64,0.4585171341896057,1.0,0.001
