desi_id,mean_fiber_ra,mean_fiber_dec,z,zerr,ra,dec,type,shape_r,shape_e1,shape_e2,sersic,ebv,brickid,dchisq_psf,dchisq_rex,dchisq_exp,dchisq_dev,dchisq_ser,id,flux_g,flux_r,flux_i,flux_z,flux_w1,flux_w2,flux_w3,flux_w4,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,mw_transmission_i,fitbits,mw_transmission_w1,brickname,mw_transmission_z,mw_transmission_g,maskbits,mw_transmission_w2,mw_transmission_w3,objid,mw_transmission_w4,mw_transmission_r,apflux_g_0_5,apflux_g_0_75,apflux_g_1_0,apflux_g_1_5,apflux_g_2_0,apflux_g_3_5,apflux_r_0_5,apflux_r_0_75,apflux_r_1_0,apflux_r_1_5,apflux_r_2_0,apflux_r_3_5
39627744891371996,145.520996927198,-1.660435757667085,1.273300590850284,6.80655088308852e-05,145.52099704997275,-1.660450270817008,SER,0.6122965,0.36799228,-0.090120465,2.2376642,0.028293718,320870,13649.859,14917.436,15221.761,15210.551,15251.588,J145.520997-1.660450,1.3691207,1.7784206,2.3796785,3.1254568,5.489842,-3.2571955,276.19412,1994.6389,6582.5386,593.62756,54.690662,73.74289,3.7110035,0.7295898,0.0009944387,3.2507187e-06,0.9593621,0,0.99521655,"(49, 52, 53, 54, 109, 48, 49, 55)",0.9689347,0.9196564,0,0.9970596,0.9993722,1046,0.9997629,0.9451433,0.30927613,0.5573787,0.7684066,1.0620139,1.2096556,1.3648041,0.3866933,0.7033564,0.99662155,1.3713467,1.5822707,1.7353811
39627757033883389,149.3412468927713,-1.360546500321107,0.7834660639597533,2.129826268983238e-05,149.34123667884012,-1.360536664710883,REX,0.33226535,0.0,0.0,1.0,0.086001284,323765,460.2829,493.4711,492.1434,494.80774,0.0,J149.341237-1.360537,0.4262486,0.74984163,1.3271368,1.7116315,0.9644767,-1.7731435,93.78757,-606.91223,497.29712,315.0108,69.9476,36.514496,3.958001,0.71626085,0.0007273577,2.367252e-06,0.8815245,0,0.98553103,"(49, 52, 57, 51, 109, 48, 49, 50)",0.9085336,0.775241,0,0.9910892,0.99809283,2006,0.99927944,0.8424088,0.1200994,0.23440036,0.32068378,0.40989026,0.45705372,0.4888137,0.23096436,0.39367452,0.5479019,0.7196782,0.76922315,0.76537246
39627732971163748,155.2318079608756,-2.171207140924794,1.195197513815325,4.631229033413474e-05,155.23181589175,-2.1712093312811347,REX,0.25023833,0.0,0.0,1.0,0.046446584,318028,49867.9,51138.92,51158.78,51156.066,0.0,J155.231816-2.171209,1.5364614,1.8684312,2.2479331,3.097621,4.0854745,1.6944433,-75.01898,-1181.4711,13247.894,5161.9424,167.09138,104.65156,3.8568504,0.69877493,0.000702612,2.5120198e-06,0.93416333,0,0.9921596,"(49, 53, 53, 49, 109, 48, 50, 50)",0.9495138,0.8715419,0,0.9951776,0.99896955,11772,0.9996108,0.9115432,0.42893744,0.7491409,1.0083429,1.3000803,1.4278029,1.6616902,0.6023274,1.0047295,1.2892222,1.6127536,1.7784569,2.0191987
39627775249744060,155.0091971786474,-0.605215519028392,0.3487887282614618,1.274545763827957e-05,155.00919123010004,-0.6051803955323126,SER,0.9703423,0.3470801,-0.24046238,0.70742506,0.051756397,328108,61812.207,70885.71,72195.42,73183.13,73214.695,J155.009191-0.605180,2.2191837,6.598592,10.105111,14.638326,28.962055,27.340433,26.424557,-1174.8387,1078.221,1274.3256,44.398033,36.687683,3.0165026,0.61520886,0.00047827634,1.6447136e-06,0.92691845,0,0.9912672,"(49, 53, 53, 49, 109, 48, 48, 53)",0.943907,0.85795,0,0.99462783,0.99885184,331,0.9995663,0.90194273,0.33148584,0.6400826,0.9357626,1.4354045,1.7714517,2.1791906,0.7184875,1.4718671,2.3244092,3.8885531,5.007923,6.3464293
39627769230919877,156.349451549219,-0.8117296265665964,0.3863006569374818,4.37687472266057e-05,156.349500234107,-0.8117126526019932,SER,2.894142,0.06853765,-0.045169383,6.0,0.058909837,326673,180867.44,226451.28,233772.58,226728.2,234072.84,J156.349500-0.811713,5.8544016,32.99509,58.517914,79.47308,136.6747,94.01737,-31.01444,-1305.2869,247.18263,58.124508,17.454002,16.393528,1.003303,0.27182186,0.00041140415,1.6941646e-06,0.9172468,8,0.99006623,"(49, 53, 54, 51, 109, 48, 48, 55)",0.9364058,0.8399734,0,0.9938876,0.9986932,2309,0.99950635,0.8891685,0.4227695,0.81353813,1.2143463,1.9802889,2.5521858,3.8234687,2.623498,4.98592,7.3270106,11.322253,14.495241,20.664457
39627708849722672,157.208330531384,-3.172287214771199,0.973002818879708,5.621310102521955e-05,157.20832380422158,-3.1722761495812044,EXP,0.68163025,-0.26217,0.041513495,1.0,0.036829364,312277,1010.6651,1112.4266,1115.9055,1128.4878,1129.4813,J157.208324-3.172276,0.6699241,0.8882591,1.5576628,1.8032242,0.17265855,2.4584284,-52.93916,-258.76645,732.0449,212.47658,178.70209,62.50428,3.2053375,0.6472554,0.0007420129,2.512161e-06,0.94742984,0,0.99377793,"(49, 53, 55, 48, 109, 48, 51, 50)",0.9597538,0.89671034,0,0.9961743,0.9991828,5685,0.99969137,0.92919266,0.13672099,0.23507883,0.3559275,0.49332514,0.55478996,0.61732394,0.17886393,0.3426572,0.4992058,0.7359845,0.8467366,1.1590636
39627751145080478,158.3363073983378,-1.473001101102718,0.984321015272676,5.766738321452378e-05,158.33630479231394,-1.472989486020172,EXP,0.77653116,-0.029152777,-0.23806992,1.0,0.06206886,322361,2518.8079,3060.3901,3086.0151,3097.764,3099.809,J158.336305-1.472989,0.60578907,0.8053286,1.4560612,1.5904995,1.7800446,0.40677962,-16.151264,2760.3162,2430.7668,2535.1243,212.60445,44.736275,3.7537405,0.67608017,0.0009142579,3.0539768e-06,0.9130079,0,0.9895363,"(49, 53, 56, 51, 109, 48, 49, 53)",0.93311214,0.8321551,0,0.9935609,0.9986232,4575,0.9994799,0.88358504,0.09732247,0.20064479,0.29965386,0.46155924,0.5556199,0.7068693,0.16752705,0.31930408,0.46601188,0.6361773,0.7059424,0.94246924
39627943898515993,141.142285101547,6.478233181819399,0.2158027160970986,2.952077102028756e-05,141.14229116004822,6.478222979790419,EXP,1.9714737,-0.54587233,0.11016634,1.0,0.05244941,368317,66207.664,104938.44,120146.945,123842.1,123853.97,J141.142291+6.478223,7.102337,16.331621,24.320536,29.334547,28.871284,30.161211,205.362,-44.549656,433.38263,131.25186,65.25779,29.360548,2.4145832,0.54450995,0.0009599201,3.4617656e-06,0.92597705,0,0.9911508,"(49, 52, 49, 49, 112, 48, 54, 53)",0.94317764,0.85619175,0,0.9945561,0.99883646,2793,0.9995605,0.90069723,0.5088385,1.0508687,1.6791881,3.0220354,4.2569394,6.4318776,1.5945928,3.1998951,4.965979,8.137669,10.775128,15.026825
39627949934121683,143.0243507842787,6.850289187324981,0.2104156464185726,6.636419346019123e-05,143.02434188781524,6.850278386222568,SER,1.0436324,-0.046013262,-0.1606782,2.9923732,0.042277683,369756,96999.09,118586.05,120884.33,119326.01,120960.36,J143.024342+6.850278,5.279827,15.569615,22.670998,29.161364,25.914946,15.635817,-51.442287,308.17694,393.21317,147.255,88.97541,32.428444,2.611053,0.5783553,0.0006129577,2.05407e-06,0.93989116,0,0.9928608,"(49, 52, 50, 57, 112, 48, 54, 55)",0.9539392,0.88236403,0,0.9956095,0.999062,5250,0.9996457,0.9191524,0.64164084,1.2439191,1.866474,2.9059837,3.678479,4.820497,2.0711124,3.9196136,5.774174,8.809455,10.947495,14.205882
39627799245357804,145.2977872153112,0.4704867076179992,1.15603200437533,2.781394093724619e-05,145.2977653841287,0.4704776607329604,REX,0.2209209,0.0,0.0,1.0,0.092682965,333829,7388.4204,7516.4453,7514.553,7516.513,0.0,J145.297765+0.470478,0.9292029,1.4368228,2.0089016,2.8539557,5.6742496,4.1855607,-33.01145,-531.1813,2860.1587,1569.7236,116.95196,164.33955,3.8217514,0.71340555,0.0007367468,2.483368e-06,0.87293017,0,0.9844157,"(49, 52, 53, 51, 112, 48, 48, 53)",0.9017878,0.76005805,0,0.9904002,0.99794483,1247,0.9992235,0.83125937,0.29708648,0.51381797,0.66810876,0.7954386,0.8520465,0.91739136,0.4835569,0.80396295,1.0261736,1.2901789,1.4169993,1.5295864
