epoch,loss/total_train,loss/recon_train,loss/kl_train,loss/total_val,loss/recon_val,loss/kl_val,val/mse_px,val/ssim,val/psnr,val/active_dims,val/kl_per_dim_mean,beta,lr_enc,lr_dec
1,535.0068518559735,533.0311140763132,118.54366715510089,38.012261670334894,29.23862818667763,17.547267268474837,0.0016243682607056055,nan,nan,64,0.23626039922237396,0.016666666666666666,0.0005,0.002
2,25.261480231034128,24.80645703910885,13.650695721905931,23.810962318477774,17.573368273283307,12.47518799717265,0.0009762982162121768,nan,nan,64,0.16613665223121643,0.03333333333333333,0.0005,0.002
3,21.238962912021723,20.652092754392697,11.737402492896058,28.26716377143573,22.434754507882253,11.664818778073878,0.0012463752602234035,nan,nan,64,0.1539585292339325,0.05,0.0005,0.002
4,16.558502096878854,15.860953037003826,10.463235553942228,16.065777384248893,10.823909580259395,10.483736124253811,0.0006013283089391495,nan,nan,64,0.12329216301441193,0.06666666666666667,0.0005,0.002
5,14.441504005202674,13.662240100086184,9.351166768181592,15.155517348669525,10.540168210079795,9.230698391907197,0.0005855648970945662,nan,nan,64,0.10746195912361145,0.08333333333333333,0.0005,0.002
6,13.635636724027476,12.751164586920487,8.84472125634215,30.39818831135456,26.001021421045287,8.794334131972233,0.0014445012044931825,nan,nan,64,0.09254418313503265,0.1,0.0005,0.002
7,12.178654376725506,11.181789935979628,8.544552430174404,18.678335003386763,14.226066180637904,8.904537803248354,0.0007903370279748749,nan,nan,64,0.09468142688274384,0.11666666666666667,0.0005,0.002
8,11.511303937524781,10.388003836897083,8.424750023318413,12.84147526447038,8.686112167243671,8.310726345033574,0.000482561787121222,nan,nan,64,0.08790533989667892,0.13333333333333333,0.0005,0.002
9,10.654175579099727,9.410027550575428,8.29431983044273,20.093375729438954,16.014446703114903,8.157858353808411,0.000889691486131904,nan,nan,64,0.0763232633471489,0.15,0.0005,0.002
10,10.657627500089488,9.286363709241824,8.227582580164858,13.482986650968853,9.328713546121927,8.30854628856917,0.0005182618624530733,nan,nan,64,0.08910790830850601,0.16666666666666666,0.0005,0.002
11,9.875811799128252,8.386739142855307,8.12221452168056,12.104095502007276,8.04910399501485,8.10998309286017,0.0004471724487918156,nan,nan,64,0.07355950027704239,0.18333333333333332,0.0005,0.002
