epoch,loss/total_train,loss/recon_train,loss/kl_train,loss/z_train,loss/total_val,loss/recon_val,loss/kl_val,loss/z_val,val/mse_px,val/ssim,val/psnr,val/active_dims,val/kl_per_dim_mean,val/z_rmse,val/z_corr,beta,lr
1,12449.59291294643,12422.811596863252,741.0126795087542,2.080867116164444,11580.185253171992,10884.81660449953,693.9361241849741,1.4323811020169939,0.6047120385600212,nan,nan,63,11.014859199523926,1.1968212127685547,0.421283840611929,0.03333333333333333,0.001
2,10612.258157601034,10577.059636395677,505.91189850541883,1.471026881296832,10637.334615836466,10154.242907072368,481.7721789367217,1.319578482692403,0.5641246075020697,nan,nan,63,7.6471781730651855,1.1487290859222412,0.5634248938647096,0.06666666666666667,0.001
3,10097.499875176221,10054.970541588345,411.16815919804395,1.4125180118962337,10170.626446487313,9766.25445694314,403.0549158081973,1.317097820733723,0.5425696856993482,nan,nan,63,6.397697448730469,1.147648811340332,0.5046688228553218,0.1,0.001
4,9843.632210408834,9793.995807389567,362.5633398070371,1.2946744444675016,9971.214975916353,9606.398151139567,363.6666080790355,1.1503465874750811,0.5336887948495105,nan,nan,63,5.772486686706543,1.0725420713424683,0.4936961699344285,0.13333333333333333,0.001
5,9633.315437030074,9578.510118068609,321.5905188080063,1.2068383980514412,9746.207236842105,9431.222986665884,313.80772181919644,1.176506973747024,0.5239568316846862,nan,nan,63,4.981075286865234,1.0846691131591797,0.5507245122161674,0.16666666666666666,0.001
6,9481.783702420113,9424.057778724155,282.16234697614397,1.2933995817836963,9711.265933388158,9447.195943961466,262.9548874475006,1.1151695206649321,0.5248442220508605,nan,nan,63,4.173886775970459,1.0560158491134644,0.5450843334529198,0.2,0.001
7,9367.411588052162,9304.458565848214,264.3917122747665,1.2616330300058638,9554.445598860433,9297.238251879699,256.1411292284055,1.0662598834001928,0.5165132382758578,nan,nan,63,4.065732479095459,1.032598614692688,0.5521034727862669,0.23333333333333334,0.001
8,9252.479462817199,9185.455724271616,246.91808485447015,1.178946154010027,9493.293886571899,9250.409091576597,241.62766822298667,1.2571400547386111,0.5139116254964269,nan,nan,63,3.835359811782837,1.1212226152420044,0.42369071493856225,0.26666666666666666,0.001
9,9158.827611019737,9088.131020911655,232.07298772137864,1.0746811139852481,9334.25256255874,9098.230211759868,235.01084957266212,1.0115453623291244,0.505457235458202,nan,nan,63,3.7303309440612793,1.005756139755249,0.4993999383548321,0.3,0.001
10,9110.627232142857,9035.068579652256,223.65020533970423,1.0085771334798712,9459.50256255874,9240.822955827067,217.73917429070724,0.9403969909911766,0.5133790535138065,nan,nan,63,3.456177234649658,0.9697406888008118,0.5434126125138696,0.3333333333333333,0.001
11,9038.162359022557,8957.766843867481,216.6347441709131,0.9627811411269626,9219.990447309681,9006.26646205357,212.88488207365336,0.8389646567796406,0.5003481381817868,nan,nan,63,3.3791253566741943,0.9159501194953918,0.5770310182551055,0.36666666666666664,0.001
12,8983.835974212876,8898.722142269737,210.50304980744096,0.9126425380993607,9230.782248590225,9019.06891006814,210.81722689750498,0.896170817819753,0.501059383377993,nan,nan,63,3.3463051319122314,0.946662962436676,0.5591108933130569,0.4,0.001
13,8943.73884662829,8853.706179511279,205.67594313083734,0.9063796687843209,9177.878737370771,8975.160941905546,201.85108913335586,0.8665037988720083,0.4986200650831811,nan,nan,63,3.2039852142333984,0.9308618903160095,0.5306757897708041,0.43333333333333335,0.001
14,8913.76548549107,8818.848919172933,201.50088397721598,0.88283621144474,9049.839917175752,8853.1435546875,195.82594517299108,0.870293943057383,0.49184131263790276,nan,nan,63,3.1083486080169678,0.9328954219818115,0.5351575398754108,0.4666666666666667,0.001
15,8874.39644031955,8774.55100886983,197.9405259440716,0.8751827007845828,9003.426199776786,8807.55938674812,195.03749222145942,0.8293548965812626,0.48930886634310383,nan,nan,63,3.0958333015441895,0.9106892347335815,0.5524599083376329,0.5,0.001
16,8848.220145089286,8743.424305392387,194.89556884765625,0.8515461858053853,9063.048057154605,8869.904127995771,192.33187762955973,0.8120701774618679,0.49277246132829133,nan,nan,63,3.052886962890625,0.9011493921279907,0.5781191180446812,0.5333333333333333,0.001
17,8823.343555421758,8713.974139450187,191.54543952655075,0.8269939906615064,9006.32612781955,8815.742121416823,189.7647483653592,0.819362299334734,0.4897634503536655,nan,nan,63,3.012139081954956,0.9051862955093384,0.5570083684111139,0.5666666666666667,0.001
18,8817.445407953477,8702.81352061795,189.6797634497621,0.8239887173014476,9013.212472098214,8829.236438263628,183.18589450004404,0.790242800587102,0.490513128893716,nan,nan,63,2.907712697982788,0.8889560103416443,0.5614505021821042,0.6,0.001
19,8793.298615190319,8673.587670347744,187.72640773228235,0.8175635709798426,9052.575224682801,8865.132460056391,186.66609168948983,0.7767190086214166,0.4925073564500737,nan,nan,63,2.962953805923462,0.881316602230072,0.5815438106180719,0.6333333333333333,0.001
20,8778.04395999765,8653.526591136044,185.57421358725182,0.8012359585977138,8953.704534774437,8762.298064497181,190.63308119236078,0.773383210924335,0.48679434267201815,nan,nan,63,3.0259218215942383,0.8794220685958862,0.587511758692792,0.6666666666666666,0.001
21,8747.260334674576,8617.964528019267,183.59159197126115,0.7816411162677565,8950.906954887218,8770.522203947368,179.62877718129553,0.7561318596502892,0.4872512259429559,nan,nan,63,2.851250648498535,0.8695583939552307,0.6090496961943016,0.7,0.001
22,8747.49237106438,8613.602120535714,181.5136398659613,0.7802848484283104,8995.09533599624,8817.169716282895,177.1801834680084,0.7452745831998667,0.48984276486518685,nan,nan,63,2.8123838901519775,0.8632928729057312,0.6273498155056124,0.7333333333333333,0.001
23,8723.855901961937,8584.918791118422,180.22409505055364,0.7652638088491627,8946.769171463815,8768.352003054511,177.6978221692537,0.71940960606238,0.4871306726358887,nan,nan,63,2.8206000328063965,0.8481801748275757,0.6403486005139102,0.7666666666666667,0.001
24,8700.708793468046,8556.998659980029,178.69852189372358,0.7513135519242824,8939.748663651315,8765.225622650376,173.79884946435914,0.7242663493730072,0.48695698783809976,nan,nan,63,2.75871205329895,0.85103839635849,0.6098915391037204,0.8,0.001
25,8708.733648085057,8560.60246196546,176.84726181603912,0.7584528918553116,8922.758708294174,8743.926882636279,178.1034941709131,0.7283543003232855,0.4857737244968128,nan,nan,63,2.8270394802093506,0.8534367680549622,0.6220744265091471,0.8333333333333334,0.001
26,8677.756927719689,8524.952049312735,175.45468047866248,0.7441084201174571,8918.319468103853,8741.634611430922,175.96249481430627,0.7223228650881832,0.4856463805177158,nan,nan,63,2.793055772781372,0.8498957753181458,0.6245134657058551,0.8666666666666667,0.001
27,8672.402061060855,8514.711844308036,174.39252328514158,0.73696281856164,8935.727047109962,8764.24577067669,170.77476822702508,0.7064637066726398,0.4869025546805303,nan,nan,63,2.7107107639312744,0.8405139446258545,0.623200711373139,0.9,0.001
28,8668.05865616189,8505.79339461936,173.07498501655752,0.7285788025622978,9110.342663298872,8935.759273672462,173.85444193675104,0.7290836308235512,0.49643107419623467,nan,nan,63,2.759594678878784,0.8538639545440674,0.6556174393437197,0.9333333333333333,0.001
29,8654.643316053807,8487.732348449248,171.91235271253083,0.7290677992921126,8920.530890213815,8753.268995242011,166.55699777244627,0.7049822229191773,0.48629273799128997,nan,nan,63,2.6437621116638184,0.8396322131156921,0.6401629266091754,0.9666666666666667,0.001
30,8652.448054951832,8480.628763069784,171.1005413084102,0.7187207822961018,8931.957985784775,8760.277424518326,170.99328728008987,0.6873608921703539,0.4866820773235837,nan,nan,63,2.714179515838623,0.8290723562240601,0.6562410707262818,1.0,0.001
