epoch,loss/total_train,loss/recon_train,loss/kl_train,loss/total_val,loss/recon_val,loss/kl_val,val/mse_px,val/ssim,val/psnr,val/active_dims,val/kl_per_dim_mean,beta,lr
1,12448.992466517857,12423.64514068374,760.4199830822479,11497.949673989662,10775.604785890508,722.3449482164884,0.5986447208806088,nan,nan,64,11.286640167236328,0.03333333333333333,0.001
2,10603.266777784305,10568.322794290414,524.1595043669965,10647.88862781955,10157.795112781954,490.0934858967487,0.5643219678921807,nan,nan,64,7.657711029052734,0.06666666666666667,0.001
3,10047.176522850094,10005.520639978853,416.5588846995418,10233.567074424342,9810.247202478853,423.3199456006961,0.5450137557839989,nan,nan,64,6.61437463760376,0.1,0.001
4,9824.194879288063,9774.20567287359,374.91916100064617,9919.933806684681,9553.724660773027,366.2091585317052,0.5307624873362089,nan,nan,64,5.722018241882324,0.13333333333333333,0.001
5,9590.118105321899,9536.057786066729,324.36177166243243,9748.083360256109,9424.061743714756,324.0215952019942,0.5235589980182791,nan,nan,64,5.062837600708008,0.16666666666666666,0.001
6,9453.317926163063,9396.938483905074,281.8972520182904,9628.997510867011,9357.476048519737,271.5215279715402,0.5198597836315184,nan,nan,64,4.242524147033691,0.2,0.001
7,9343.682976973685,9281.300017622181,267.3553845398408,9652.629163240132,9393.397292058271,259.23186108582,0.5218553986764491,nan,nan,64,4.050498008728027,0.23333333333333334,0.001
8,9227.617407777256,9161.028856320489,249.70726747441114,9387.03123531485,9144.67655956297,242.3546905517578,0.5080375917872092,nan,nan,64,3.786792278289795,0.26666666666666666,0.001
9,9136.307932918233,9065.66853412829,235.4645335261983,9306.047645970395,9074.479807918233,231.56768649682067,0.5041377705738956,nan,nan,64,3.6182453632354736,0.3,0.001
10,9082.147622474155,9006.754912182801,226.17809588210028,9293.629647850094,9070.265793879229,223.3638678529209,0.5039036713148418,nan,nan,64,3.490060567855835,0.3333333333333333,0.001
11,9043.580158893326,8962.852098507989,220.16744559151786,9164.231526080826,8948.834234022557,215.39720670083412,0.49715746255745563,nan,nan,64,3.365581512451172,0.36666666666666664,0.001
12,8986.253590519267,8901.18788181391,212.66418204630227,9130.29979000235,8914.825063146147,215.47476655200012,0.49526806657475636,nan,nan,64,3.366793394088745,0.4,0.001
13,8939.645588580826,8849.407446839756,208.2419664196502,9173.380000293702,8969.760397086466,203.61958886626968,0.49832001709400264,nan,nan,64,3.181555986404419,0.43333333333333335,0.001
14,8922.138312088815,8826.571626820958,204.7857801394355,9096.09899994126,8897.958778782895,198.14019259115807,0.4943310448101589,nan,nan,64,3.095940589904785,0.4666666666666667,0.001
15,8889.411749588815,8789.260646734023,200.30219859646675,9026.079923930922,8832.848397850094,193.23154455199278,0.4907138110103464,nan,nan,64,3.019242763519287,0.5,0.001
16,8861.944651668233,8757.09407307331,196.59483463602854,9103.414400258458,8908.69708206062,194.71722469473244,0.4949276196329217,nan,nan,64,3.04245662689209,0.5333333333333333,0.001
17,8848.862881079653,8738.902630110433,194.04750301963404,9068.000469924813,8876.26094043703,191.73951124607171,0.4931256049557736,nan,nan,64,2.9959299564361572,0.5666666666666667,0.001
18,8830.033900669643,8714.922642299107,191.85208749412595,9032.509736254699,8846.226386278195,186.2833067241468,0.4914570231186716,nan,nan,64,2.9106764793395996,0.6,0.001
19,8797.177132283834,8676.939779869595,189.84846852238016,9047.428020735433,8861.683806684681,185.74424009394824,0.49231578353652383,nan,nan,64,2.9022538661956787,0.6333333333333333,0.001
20,8795.785611489662,8670.849378083882,187.40445175744537,9019.715284304511,8832.110659950658,187.6046832091826,0.4906728137704663,nan,nan,64,2.931323289871216,0.6666666666666666,0.001
21,8772.099308329418,8642.2626953125,185.48085652975212,8952.82849212876,8774.850732789004,177.97772710126145,0.4874917123102604,nan,nan,64,2.78090238571167,0.7,0.001
22,8767.668247767857,8632.734532865366,184.0005181104617,8970.689240190319,8790.921184797933,179.7681257204902,0.48838452580279873,nan,nan,64,2.8088769912719727,0.7333333333333333,0.001
23,8752.848610784775,8613.618501820958,181.60449861225328,8991.287645382989,8814.189658717105,177.09799159917617,0.4896772273052904,nan,nan,64,2.7671561241149902,0.7666666666666667,0.001
24,8726.749827449483,8582.1284032836,180.77676747257547,8947.953345277256,8772.061435326597,175.89195607120828,0.48733672835773095,nan,nan,64,2.748311758041382,0.8,0.001
