epoch,loss/total_train,loss/recon_train,loss/kl_train,loss/total_val,loss/recon_val,loss/kl_val,val/mse_px,val/ssim,val/psnr,val/active_dims,val/kl_per_dim_mean,beta,lr_enc,lr_dec
1,528.0081546611356,527.8787202906788,776.6310443161126,21.605558682205086,20.191621378848428,282.78748097814116,0.0011217567708196217,nan,nan,64,4.415691375732422,0.00016666666666666666,0.0005,0.002
2,31.83312309236455,31.73359827887743,298.5746200676251,34.02639757600942,32.89877707976147,225.52413343845453,0.0018277099081210064,nan,nan,64,3.5219693183898926,0.0003333333333333333,0.0005,0.002
3,19.679957777037657,19.551692783384397,256.52997743993774,13.772039858022131,12.660124276813708,222.38309794261042,0.0007033402584248075,nan,nan,64,3.4735069274902344,0.0005,0.0005,0.002
4,17.111162809501018,16.826080680789804,427.6231837451906,11.50715424243669,10.970908638229943,107.24914315589389,0.0006094949369850967,nan,nan,64,1.6719927787780762,0.0006666666666666666,0.0005,0.002
5,12.725848943667303,12.634679062922197,109.40386785062633,11.829751523813806,11.365912136278654,92.76791462145354,0.0006314395682683173,nan,nan,64,1.4473702907562256,0.0008333333333333333,0.0005,0.002
6,11.565619404154612,11.475176058317485,90.44333476590035,11.849745520971771,11.425542867273316,84.840526380037,0.0006347523763236639,nan,nan,64,1.3235516548156738,0.001,0.0005,0.002
7,9.39496390263837,9.31341350526738,69.90032296431691,8.891714999550267,8.551983109094147,67.94638956399788,0.00047511018176311,nan,nan,64,1.061127781867981,0.0011666666666666668,0.0005,0.002
8,8.292139648494864,8.199602399553571,69.40292605063073,6.878994909444249,6.540562622529223,67.68645893182969,0.0003633645909778858,nan,nan,64,1.057517409324646,0.0013333333333333333,0.0005,0.002
9,7.34197565666715,7.234441631718686,71.68935861802639,7.455289453492129,7.083353523024939,74.38719079727517,0.0003935196467577235,nan,nan,64,1.1622886657714844,0.0015,0.0005,0.002
10,7.131023977035866,6.999650815375765,78.82388331477803,6.6315331136373645,6.150404213066388,96.22577931110123,0.0003416891228600188,nan,nan,64,1.5035150051116943,0.0016666666666666666,0.0005,0.002
11,6.369283686903186,6.214265859216676,84.55518065717884,6.232951060273593,5.774760407612736,91.63813190890434,0.00032082001925481105,nan,nan,64,1.4318439960479736,0.0018333333333333333,0.0005,0.002
